market_name,domain,product_id,product_name,price,is_available,measure,product_url,vender_name,category_name,subcategory_name,category_url
okey,https://www.okeydostavka.ru,43924,Филе цыпленка охлажденное 300-550г Роскар кг,418.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-300-550%D0%B3-%D1%80%D0%BE%D1%81%D0%BA%D0%B0%D1%80--%D0%BA%D0%B3-461375-parent--1,"ПАО ""Птицефабрика Роскар""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44121,Цыпленок 1кат охлажденный ПФ Северная кг,200.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BE%D0%BA-1%D0%BA%D0%B0%D1%82-%D0%BE%D1%85%D0%BB-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-13745-parent--1,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44242,Цыпленок 1кат охлажденный н/п Петелинка кг,208.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/tsyplenok-okhl-kalibrovannyi-petelino-kg-439754-parent-1,"ЗАО ""Петелинская птицефабрика"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44245,Бедро цыпленка охлажденное Петелинка кг,255.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/bedro-tsyplenka-okhl-petelino-kg-439755-parent-1,"ЗАО ""Петелинская птицефабрика"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44246,Филе цыпленка охлажденное Петелинка кг,398.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-okhl-petelino-kg-439756-parent-1,"ЗАО ""Петелинская птицефабрика"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44248,Окорок цыпленка охлажденный Петелинка кг,224.5,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BE%D0%BA%D0%BE%D1%80%D0%BE%D0%BA-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D0%B5%D1%82%D0%B5%D0%BB%D0%B8%D0%BD%D0%BE-%D0%BA%D0%B3-439757-parent--1,"ЗАО ""Петелинская птицефабрика"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44249,Голень цыпленка охлажденная Петелинка кг,299.5,1,кг,/spb/golen-tsyplenka-okhlazhdennaia-petelinka-kg,"ЗАО ""Петелинская птицефабрика"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,44252,Грудка цыпленка охлажденная Петелинка кг,269.9,1,кг,/spb/grudka-tsyplenka-okhlazhdennaia-petelinka-kg,"ЗАО ""Петелинская птицефабрика"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,45082,Крыло индейки п/ф охлажденный кг,234.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/krylo-indeiki-okhl-kg-469670-parent-1,"ООО ""Конкорд"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,45319,Окорок цыпленка охлажденный 300-550г Роскар кг,256.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BE%D0%BA%D0%BE%D1%80%D0%BE%D0%BA-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-300-550%D0%B3-%D1%80%D0%BE%D1%81%D0%BA%D0%B0%D1%80--%D0%BA%D0%B3-17464-parent--1,"ПАО ""Птицефабрика Роскар""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,45652,Филе грудки индейки п/ф охлажденный кг,514.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-grudki-indeiki-okhl-beloe-miaso-kg-18546-parent-1,"ООО ""ЕВРОДОН"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,46405,Голень цыпленка охлажденная Халяль Приосколье кг,295.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D1%85%D0%B0%D0%BB%D1%8F%D0%BB%D1%8C-%D0%BF%D1%80%D0%B8%D0%BE%D1%81%D0%BA%D0%BE%D0%BB%D1%8C%D0%B5--%D0%BA%D0%B3-20765-parent--1,"ЗАО ""Приосколье""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,46410,Филе цыпленка охлажденное Халяль Приосколье кг,407.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-okhl-khalial-prioskol-e-kg-20770-parent-1,"ЗАО ""Приосколье"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,46451,Филе бедра индейки п/ф охлажденный кг,319.0,1,кг,/spb/file-bedra-indeiki-p-f-okhlazhdennyi-kg,"ООО ""ЕВРОДОН"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,46779,Филе цыпленка замороженное Приосколье кг,346.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-zam-prioskol-e-kg-20493-parent-1,"ЗАО ""Приосколье"", Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,52175,Бедро цыпленка п/ф охлажденный кг,172.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/bedro-tsyplenka-okhl-val-kg-41019-parent-1,"ООО «Птицефабрика Акашевская», Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,52178,Голень цыпленка п/ф охлажденный кг,212.9,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/golen-tsyplenka-okhl-val-kg-41028-parent-1,"ООО «Птицефабрика Акашевская», Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,52180,Филе цыпленка п/ф охлажденный кг,346.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%B2%D0%B0%D0%BB-%D0%BA%D0%B3-41039-parent--1,"ООО «Птицефабрика Акашевская», Россия","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,54528,Бедро цыпленка охлажденное Северная ПФ кг,234.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B1%D0%B5%D0%B4%D1%80%D0%BE-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648971-parent--1,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,54535,Голень цыпленка охлажденная Северная ПФ кг,257.5,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648972-parent--1,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,54536,Грудка цыпленка охлажденная Северная ПФ кг,246.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D1%80%D1%83%D0%B4%D0%BA%D0%B0-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648975-parent--1,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,54539,Крыло цыпленка охлажденное Северная ПФ кг,245.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BA%D1%80%D1%8B%D0%BB%D0%BE-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648973-parent--1,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,54540,Окорок цыпленка охлажденный ПФ Северная кг,218.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BE%D0%BA%D0%BE%D1%80%D0%BE%D0%BA-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648974-parent--1,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
